Song Name,End Time,Artist Name
Thoda Thoda Pyaar,25/12/23 18:52,Nilesh Ahuja
"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",25/12/23 18:52,Vishal Mishra
Dil Leke,25/12/23 18:57,Shaan
Taal Se Taal - Western Version,25/12/23 18:58,Sukhwinder Singh
Tumhe Apna Banane Ka,25/12/23 19:07,Armaan Malik
Jeene Bhi De,25/12/23 19:11,Yasser Desai
Bairiya,25/12/23 19:20,Arijit Singh
Jeene Bhi De,25/12/23 19:20,Yasser Desai
Buzz (feat. Badshah),25/12/23 19:20,Aastha Gill
Sajde,25/12/23 19:20,Shankar-Ehsaan-Loy
Gale Lag Ja - Version 1,25/12/23 19:20,Javed Ali
Leja Re,25/12/23 19:20,Tanishk Bagchi
Raat Ka Nasha,25/12/23 19:26,Anu Malik
Tu / You,25/12/23 19:27,Armaan Malik
Mera Dil Bhi Kitna Pagal Hai - Recreated Version,25/12/23 19:27,Stebin Ben
Lo Aayi Barsaat,25/12/23 19:28,Darshan Raval
Tauba (feat. Badshah),25/12/23 19:28,Payal Dev
Baarish,25/12/23 19:28,Shashaa Tirupati
Lo Aayi Barsaat,25/12/23 19:35,Darshan Raval
Bol Do Na Zara,25/12/23 19:35,Armaan Malik
"Tera Ban Jaunga (From ""Kabir Singh"")",25/12/23 19:35,Akhil Sachdeva
Sawarne Lage,25/12/23 19:35,Tanishk Bagchi
Baarish,25/12/23 19:35,Shashaa Tirupati
"Lagdi Lahore Di (From ""Street Dancer 3D"")",25/12/23 19:36,Guru Randhawa
Hasi Ban Gaye,25/12/23 19:36,Ami Mishra
Besabriyaan,25/12/23 19:36,Armaan Malik
Naina,25/12/23 19:36,Sona Mohapatra
"Saanson Ko (From ""Zid"")",25/12/23 19:36,Shaarib Toshi
Hua Hain Aaj Pehli Baar,25/12/23 19:36,Amaal Mallik
Nainowale Ne,25/12/23 19:36,Neeti Mohan
"Bandeya - From ""Dil Juunglee""",25/12/23 19:36,Shaarib Toshi
Junoon,25/12/23 19:42,Mitraz
Chori Kiya Re Jiya,25/12/23 19:47,Sonu Nigam
Pee Loon,25/12/23 19:52,Pritam
Pehla Nasha,25/12/23 19:53,Udit Narayan
Lag Ja Gale Se Phir,25/12/23 19:57,Lata Mangeshkar
Banjaara,25/12/23 19:57,Mohammed Irfan
Pyaar Manga Hai,25/12/23 19:57,Armaan Malik
"Mast Magan (From ""2 States"")",25/12/23 20:02,Arijit Singh
"Tere Naal Nachna (From ""Nawabzaade"")",25/12/23 20:07,Badshah
Be Intehaan,25/12/23 20:07,Atif Aslam
Sanam Teri Kasam,26/12/23 18:03,Ankit Tiwari
Doobey,26/12/23 18:03,OAFF
Kar Gayi Chull,26/12/23 18:03,Badshah
Baarish,26/12/23 18:03,Shashaa Tirupati
Sanam Teri Kasam,26/12/23 18:04,Ankit Tiwari
"Humraah (From ""Malang - Unleash The Madness"")",26/12/23 18:04,Sachet Tandon
Sanam Teri Kasam,26/12/23 18:09,Ankit Tiwari
Chunnari Chunnari,26/12/23 18:09,Abhijeet
Vaaste,26/12/23 18:09,Dhvani Bhanushali
"Humraah (From ""Malang - Unleash The Madness"")",26/12/23 18:09,Sachet Tandon
"Tum Hi Aana (From ""Marjaavaan"")",26/12/23 18:09,Payal Dev
Makhna - Drive,26/12/23 18:09,Tanishk Bagchi
Sanam Teri Kasam,26/12/23 18:09,Ankit Tiwari
"Ishq Wala Love (From ""Student of the Year"")",26/12/23 18:09,Neeti Mohan
Khaab,26/12/23 18:09,Akhil
"Teri Ban Jaungi (From ""Kabir Singh"")",26/12/23 18:09,Tulsi Kumar
Sanam Teri Kasam,26/12/23 18:09,Ankit Tiwari
Aashiq Surrender Hua,26/12/23 18:09,Amaal Mallik
Sanam Teri Kasam,26/12/23 18:09,Ankit Tiwari
Drive,26/12/23 18:09,Yasser Desai
"Tu Zaroori (From ""Zid"")",26/12/23 18:09,Shaarib Toshi
Nainowale Ne,26/12/23 18:09,Neeti Mohan
Sunn Raha Hai,26/12/23 18:09,Ankit Tiwari
Baarish,26/12/23 18:09,Shashaa Tirupati
"Chahun Main Ya Naa (From ""Aashiqui 2"")",26/12/23 18:14,Palak Muchhal
"Tu Jo Hain (From ""Mr. X"")",26/12/23 18:20,Ankit Tiwari
"Iktara (From ""Wake Up Sid"")",26/12/23 18:20,Amit Trivedi
Chaand Baaliyan,26/12/23 18:20,Aditya A
Pee Loon,26/12/23 18:24,Pritam
Ek Ladki Ko Dekha Toh Aisa Laga - Title Track,26/12/23 18:25,Darshan Raval
Chand Sifarish,26/12/23 18:25,Jatin-Lalit
"Tum Se Hi (From ""Sadak 2"")",26/12/23 18:25,Ankit Tiwari
Khuda Jaane,26/12/23 18:25,Vishal-Shekhar
Naina Da Kya Kasoor,26/12/23 18:29,Amit Trivedi
Chand Sifarish,26/12/23 18:29,Jatin-Lalit
Sun Saathiya,26/12/23 18:29,Divya Kumar
Kabhi Kabhi Aditi,26/12/23 18:29,Rashid Ali
"Tum Se Hi (From ""Sadak 2"")",26/12/23 18:29,Ankit Tiwari
Mannat,26/12/23 18:29,Darshan Raval
"Baatein Ye Kabhi Na (From ""Khamoshiyan"") - Male",26/12/23 18:29,Jeet Gannguli
Ya Ali,26/12/23 18:32,Zubeen Garg
Lut Gaye,26/12/23 18:32,Jubin Nautiyal
O Saathi,26/12/23 18:32,Atif Aslam
Hasi Ban Gaye,26/12/23 18:32,Ami Mishra
Teri Deewani,26/12/23 18:32,Kailash Kher
Kamariya,26/12/23 18:32,Aastha Gill
Dekhte Dekhte,26/12/23 18:33,Atif Aslam
Lut Gaye,26/12/23 18:37,Jubin Nautiyal
Dekhte Dekhte,26/12/23 18:37,Atif Aslam
